Restaurant ID,Restaurant Name,City,Address,Longitude,Latitude,Cuisines,Average Cost for two,Price range,Aggregate rating,Rating color,Rating text,Votes
17580021,Fisherman's Corner,Pensacola,"13486 Perdido Key Dr, Pensacola, FL 32507",-87.427707,30.308468,"Sandwich, Seafood, Cajun",40,3,4.4,Green,Very Good,747
17582467,Rupes Burgers,Pocatello,"302 NE Main St, Blackfoot, ID 83221",-112.3415,43.1903,"Burger, Fast Food",10,1,3.7,Yellow,Good,104
17582668,Texas Roadhouse,Pocatello,"560 Bullock Street, Pocatello, ID 83202",-112.461326,42.910518,"American, BBQ, Steak",45,3,3.5,Yellow,Good,83
17582498,Riverwalk Cafe,Pocatello,"695 E Main St, Lava Hot Springs, ID 83246",-112.0132,42.62,"Asian, Thai",10,1,3.6,Yellow,Good,91
17582499,Royal Hotel,Pocatello,"11 E Main St, Lava Hot Springs, ID 83246",-112.0127,42.6192,"Pizza, Bar Food",0,1,3.6,Yellow,Good,59
17582522,Buddy's Italian Restaurant,Pocatello,"626 E Lewis St, Pocatello, ID 83201",-112.4423,42.8661,"Italian, Pizza, Sandwich",40,3,3.7,Yellow,Good,222
17582524,Butterburrs,Pocatello,"917 Yellowstone Avenue, Pocatello, ID 83201",-112.4516,42.8919,"American, Breakfast",30,3,3.6,Yellow,Good,121
17582527,Chang Garden,Pocatello,"1000 Pocatello Creek Rd Ste W2, Pocatello, ID 83201",-112.441,42.8928,Chinese,10,1,3.5,Yellow,Good,93
17582551,Fifth Street Bagelry,Pocatello,"559 S 5TH Ave, Pocatello, ID 83201",-112.4397,42.8631,"Coffee and Tea, Sandwich",10,1,3.8,Yellow,Good,136
17582558,Goody's Deli,Pocatello,"905 S 5th Ave, Pocatello, ID 83201",-112.4365,42.8604,"Pizza, Sandwich",10,1,3.8,Yellow,Good,160
17582560,Grecian Key Restaurant,Pocatello,"314 N Main St, Pocatello, ID 83204",-112.4524,42.8639,"American, Greek",25,2,3.7,Yellow,Good,152
17582677,Outer Limits Fun Zone,Pocatello,"1800 Garrett Way, Pocatello, ID 83201",-112.459988,42.878077,"Burger, Pizza, Sandwich",10,1,3.5,Yellow,Good,57
17582670,Portneuf Valley Brewing,Pocatello,"615 South 1st Avenue, ID 83201",-112.443213,42.860024,"American, Pizza",25,2,3.7,Yellow,Good,191
17582625,Sandpiper Restaurant & Lounge,Pocatello,"1400 Bench Rd, Pocatello, ID 83201",-112.432,42.9012,"American, Seafood, Steak",40,3,3.6,Yellow,Good,85
17582627,Senor Iguanas,Pocatello,"961 Hiline Rd, Pocatello, ID 83201",-112.4433,42.8942,Mexican,0,1,3.6,Yellow,Good,108
17582700,Sushi Family,Pocatello,"415 Yellowstone Ave, Pocatello, ID 83201",-112.452013,42.88245,"Asian, Sushi, Vegetarian",25,2,3.6,Yellow,Good,132
17582664,Taste of India Nepal,Pocatello,"330 N Main Street, Pocatello, ID 83204",-112.45253,42.863969,"Indian, International, Vegetarian",25,2,3.8,Yellow,Good,141
17582682,Thai Paradise,Pocatello,"140 S. Main, Pocatello, ID 83204",-112.450106,42.861871,"Desserts, Thai",25,2,3.7,Yellow,Good,162
17582669,The Bridge,Pocatello,"815 S 1st Street, Pocatello, ID 83201",-112.4413856,42.8585987,New American,40,3,3.6,Yellow,Good,144
18491935,Nosh Mahal,Pocatello,"303 E Alameda Road, ID 83201",-112.44853,42.891174,"Indian, Persian",25,2,0,White,Not rated,1
17582546,El Herradero,Pocatello,"123 Jefferson Ave, Pocatello, ID 83201",-112.4419,42.8774,Mexican,10,1,4.1,Green,Very Good,365
17629582,Barrett Junction Cafe,Potrero,"1020 Barrett Lake Rd, Dulzura, CA 91917",-116.704731,32.613431,"American, BBQ, Burger",25,2,3.3,Orange,Average,9
17211719,Blue Point Grill,Princeton,"258 Nassau St, Princeton, NJ 08542",-74.651139,40.352385,Seafood,70,4,4,Green,Very Good,542
17144717,Giovanni's Shrimp Truck,Rest of Hawaii,"56-505 Kamehameha Hwy, Kahuku, HI 96731",-157.948486,21.677078,Seafood,25,2,4.5,Dark Green,Excellent,691
17143970,Kona Brewing Company,Rest of Hawaii,"75-5629 Kuakini Highway, Kailua Kona, HI 96740",-155.997362,19.642752,"American, Pizza, Bar Food",35,3,4.7,Dark Green,Excellent,764
17142698,Leonard's Bakery,Rest of Hawaii,"933 Kapahulu Ave, Honolulu, HI 96816",-157.813432,21.284586,,10,1,4.7,Dark Green,Excellent,707
17144991,Coconuts Fish Cafe,Rest of Hawaii,"1279 S Kihei Road, Kihei, HI 96753",-156.455284,20.748838,Seafood,30,3,4.5,Dark Green,Excellent,487
17142519,Kihei Caffe,Rest of Hawaii,"1945 S Kihei Road, Kihei, HI 96753",-156.451847,20.731487,"American, Hawaiian",10,1,4.5,Dark Green,Excellent,695
17145408,Monkeypod Kitchen by Merriman,Rest of Hawaii,"10 Wailea Gateway Place, Unit B-201 Kihei, Hawaii, HI 96753",-156.4309473,20.6883746,Burger,40,3,4.2,Green,Very Good,485
17143336,Sansei Seafood Restaurant & Sushi Bar,Rest of Hawaii,"1881 S Kihei Rd, Kihei, HI 96753",-156.452556,20.733554,"Japanese, Seafood, Sushi",40,3,4.2,Green,Very Good,807
17145077,Star Noodle,Rest of Hawaii,"286 Kupuohi St, Lahaina, HI 96761",-156.674835,20.885226,Asian,10,1,4.6,Dark Green,Excellent,723
17141447,Aloha Mixed Plate,Rest of Hawaii,"1285 Front St, Lahaina, HI 96761",-156.684967,20.886564,"Asian, Breakfast, Hawaiian",10,1,4.2,Green,Very Good,874
17142096,Gazebo,Rest of Hawaii,"5315 Lower Honoapiilani Rd, Lahaina, HI 96761",-156.667037,20.992316,"Breakfast, Burger",25,2,4.4,Green,Very Good,552
17142297,Hula Grill,Rest of Hawaii,"2435 Kaanapali Pkwy, Lahaina, HI 96761",-156.693821,20.921347,"Hawaiian, Seafood, Steak",40,3,4.3,Green,Very Good,1056
17142535,Kimo's,Rest of Hawaii,"845 Front St, Lahaina, HI 96761",-156.680666,20.876127,"Hawaiian, Seafood, Steak",40,3,4.3,Green,Very Good,707
17142792,Mama's Fish House,Rest of Hawaii,"799 Poho Pl, Paia, HI 96779",-156.366445,20.929622,"Hawaiian, Seafood",70,4,4.9,Dark Green,Excellent,1343
17145495,Marukame Udon,Rest of Hawaii,"2310 Kuhio Avenue, Honolulu, HI 96815",-157.825979,21.279476,Japanese,10,1,4.9,Dark Green,Excellent,602
17143950,Yard House,Rest of Hawaii,"226 Lewers St, Honolulu, HI 96815",-157.8312476,21.2794952,"American, Asian, Burger",40,3,4.6,Dark Green,Excellent,1078
17142747,Lulu's Waikiki,Rest of Hawaii,"2586 Kalakaua Ave, Honolulu, HI 96815",-157.822716,21.271826,American,25,2,3.9,Yellow,Good,232
17141990,Duke's Waikiki,Rest of Hawaii,"2335 Kalakaua Ave, Honolulu, HI 96815",-157.827196,21.277583,"Hawaiian, Seafood, Steak",70,4,4.4,Green,Very Good,1492
17144732,Eggs 'n Things,Rest of Hawaii,"343 Saratoga Road, Honolulu, HI 96815",-157.831538,21.280663,Breakfast,10,1,4,Green,Very Good,535
17143282,Roy's,Rest of Hawaii,"226 Lewers St, Honolulu, HI 96815",-157.831176,21.279154,"Asian, European, Seafood",70,4,4.2,Green,Very Good,531
17143705,Wailana Coffee House,Rest of Hawaii,"1860 Ala Moana Blvd, Honolulu, HI 96815",-157.836031,21.285396,"American, Breakfast, Hawaiian",25,2,4.2,Green,Very Good,694
17615915,The Lady & Sons,Savannah,"102 W Congress St, Savannah, GA 31401",-81.0954,32.0804,Southern,40,3,3.3,Orange,Average,1201
17616487,Green Truck Pub,Savannah,"2430 Habersham Street, Savannah, GA 31401",-81.096647,32.052858,Burger,40,3,4.7,Dark Green,Excellent,906
17615924,Leopold's Ice Cream,Savannah,"212 E Broughton Street, Savannah, GA 31401",-81.0894,32.0785,"Desserts, Sandwich, Ice Cream",10,1,4.6,Dark Green,Excellent,880
17615979,Mrs. Wilkes' Dining Room,Savannah,"107 W Jones St, Savannah, GA 31401",-81.0955,32.0727,"American, Southern",40,3,4.5,Dark Green,Excellent,1014
17616266,Zunzi's,Savannah,"108 E York Street, Savannah, GA 31401",-81.0911,32.0775,"International, Mediterranean, Sandwich",25,2,4.5,Dark Green,Excellent,796
17615976,Moon River Brewing Company,Savannah,"21 W Bay St, Savannah, GA 31401",-81.0916,32.0809,"American, Bar Food, Sandwich",25,2,3.7,Yellow,Good,747
17616025,Pirates' House Restaurant,Savannah,"20 E Broad St, Savannah, GA 31401",-81.0844,32.0782,"American, Seafood, Steak",40,3,3.8,Yellow,Good,566
17615597,B. Matthew's Eatery,Savannah,"325 E Bay St, Savannah, GA 31401",-81.0875,32.0798,"American, Breakfast",25,2,4.1,Green,Very Good,683
17615740,Crystal Beer Parlor,Savannah,"301 W Jones St, Savannah, GA 31401",-81.0979,32.0735,"American, Bar Food",25,2,4.4,Green,Very Good,690
17616203,Goose Feathers Cafe and Bakery,Savannah,"39 Barnard St, Savannah, GA 31401",-81.0941,32.0801,"Breakfast, Vegetarian",10,1,4.2,Green,Very Good,680
17616590,Henry's,Savannah,"28 Drayton St, Savannah, GA 31401",-81.0905213,32.0794767,"American, Breakfast",10,1,4.1,Green,Very Good,287
17615855,Huey's On The River,Savannah,"115 E River St, Savannah, GA 31401",-81.0897,32.0812,"Breakfast, Cajun",40,3,4.1,Green,Very Good,802
17616348,J. Christopher's,Savannah,"122 E. Liberty, Savannah, GA 31401",-81.091482,32.074495,"Breakfast, Diner, Sandwich",25,2,4.3,Green,Very Good,710
17616368,Lulu's Chocolate Bar,Savannah,"42 MLK Jr. Blvd, Savannah, GA 31401",-81.097051,32.080742,"Coffee and Tea, Desserts",10,1,4.3,Green,Very Good,456
17616400,Rocks on the River,Savannah,"102 West Bay St., Savannah, GA 31401",-81.092484,32.081394,"Pizza, Seafood, Steak",70,4,4,Green,Very Good,687
17616076,SOHO South Cafe,Savannah,"12 W Liberty St, Savannah, GA 31401",-81.0939,32.0747,"Cafe, Sandwich, Southern",25,2,4.3,Green,Very Good,719
17616205,The Olde Pink House,Savannah,"23 Abercorn St, Savannah, GA 31401",-81.0897,32.0798,"American, Seafood, Southern",70,4,4.4,Green,Very Good,1803
17616222,Vic's On The River,Savannah,"26 E Bay St, Savannah, GA 31401",-81.0908,32.0809,American,70,4,4.1,Green,Very Good,558
17616295,The Crab Shack,Savannah,"40 Estill Hammock Rd, Tybee Island, GA 31328",-80.865909,32.011689,Seafood,40,3,3.8,Yellow,Good,883
17616465,Tybee Island Social Club,Savannah,"1311 Butler Ave, Tybee Island, GA 31328",-80.848297,31.99581,,10,1,3.9,Yellow,Good,309
17621616,Archie's Waeside,Sioux City,"224 4th Ave NE, Le Mars, IA 51031",-96.1608,42.7956,"Burger, Seafood, Steak",40,3,3.7,Yellow,Good,100
17621696,Bob Roe's Pizza,Sioux City,"2320 Transit Ave, Sioux City, IA 51106",-96.379,42.4765,"American, Pizza, Bar Food",10,1,3.6,Yellow,Good,92
17621744,Da Kao Restaurant,Sioux City,"800 W 7th St, Sioux City, IA 51103",-96.4173,42.5026,"Asian, Vegetarian, Vietnamese",10,1,3.8,Yellow,Good,182
17621759,Famous Dave's,Sioux City,"201 Pierce St, Sioux City, IA 51101",-96.4051,42.492,BBQ,10,1,3.6,Yellow,Good,76
17621763,Fuji Bay Japanese Restaurant,Sioux City,"513 6th St, Sioux City, IA 51101",-96.4046,42.4965,"Japanese, Sushi",40,3,3.7,Yellow,Good,129
17621780,HuHot Mongolian Grill,Sioux City,"4229 S Lakeport St, Sioux City, IA 51106",-96.3479,42.4391,"Asian, Chinese",25,2,3.6,Yellow,Good,94
17621781,Hunan Palace,Sioux City,"3523 Singing Hills Blvd, Sioux City, IA 51106",-96.362,42.4375,Chinese,25,2,3.8,Yellow,Good,129
17621788,Jerry's Pizza,Sioux City,"1417 Morningside Ave, Sioux City, IA 51106",-96.3596,42.4764,Pizza,25,2,3.8,Yellow,Good,178
17621793,Jim's Burgers,Sioux City,"800 Pierce St, Sioux City, IA 51101",-96.4048,42.4985,Burger,10,1,3.7,Yellow,Good,97
17621796,Johnnie Mars,Sioux City,"2401 5th St, Sioux City, IA 51101",-96.378049,42.495534,"American, Desserts, Diner",10,1,3.9,Yellow,Good,161
17621831,Miles Inn,Sioux City,"2622 Leech Ave, Sioux City, IA 51106",-96.3755,42.4876,American,10,1,3.7,Yellow,Good,122
17621832,Milwaukee Wiener House,Sioux City,"301 Douglas St, Sioux City, IA 51101",-96.4063904,42.4930681,"American, Fast Food",10,1,3.8,Yellow,Good,195
17621833,Minerva's Food & Cocktails,Sioux City,"2945 Hamilton Blvd, Sioux City, IA 51104",-96.418,42.5212,"American, Seafood, Steak",40,3,3.7,Yellow,Good,146
17621834,Monterrey Mexican Restaurant,Sioux City,"3138 Singing Hills Blvd, Sioux City, IA 51106",-96.3691,42.4351,Mexican,10,1,3.7,Yellow,Good,117
17621869,Rebos,Sioux City,"1107 4th St, Sioux City, IA 51101",-96.3959487,42.4944454,"Caribbean, Mexican, Cajun",25,2,3.8,Yellow,Good,187
17621960,Tokyo Japanese Steakhouse & Sushi Bar,Sioux City,"4567 Southern Hills Drive, Sioux City, IA 51106",-96.349464,42.440592,"Japanese, Steak, Sushi",40,3,3.9,Yellow,Good,239
17621746,Diamond Thai Cuisine,Sioux City,"515 W 7th St, Sioux City, IA 51103",-96.4136,42.5011,"Asian, Thai, Vegetarian",10,1,4,Green,Very Good,303
17621755,El Fredo Pizza,Sioux City,"523 W 19th St, Sioux City, IA 51103",-96.4204,42.5106,Pizza,40,3,4,Green,Very Good,280
17621946,Trattoria Fresco,Sioux City,"416 Jackson St., Sioux City, IA 51101",-96.4019631,42.4949153,Italian,25,2,4,Green,Very Good,271
17621552,Kahill's Steak-Fish Chophouse,Sioux City,"385 E 4th St, South Sioux City, IA 68776",-96.4092028,42.485608,"American, Seafood, Steak",70,4,3.5,Yellow,Good,58
17096140,Rumba Island Bar & Grill,Tampa Bay,"1800 Gulf To Bay Blvd, Clearwater, FL 33765",-82.762624,27.96076,"BBQ, Caribbean, Seafood",25,2,4.6,Dark Green,Excellent,1321
17099925,Red Mesa Cantina,Tampa Bay,"128 3rd St S, St Petersburg, FL 33701",-82.636924,27.770026,"Latin American, Mexican, Southwestern",25,2,4.6,Dark Green,Excellent,1629
17092257,BellaBrava,Tampa Bay,"204 Beach Drive Northeast, St Petersburg, FL 33701",-82.6329663,27.7737426,"American, Italian, Seafood",25,2,4.1,Green,Very Good,921
17092799,Ceviche Tapas Bar & Restaurant,Tampa Bay,"10 Beach Dr, St Petersburg, FL 33701",-82.6333294,27.7711464,"Spanish, Tapas",25,2,4.1,Green,Very Good,986
17095222,The Moon Under Water,Tampa Bay,"332 Beach Dr NE, St Petersburg, FL 33701",-82.632174,27.775462,"British, Bar Food, Sandwich",25,2,4.1,Green,Very Good,1020
17092293,Bern's Steak House,Tampa Bay,"1208 S Howard Ave, Tampa, FL 33606",-82.482962,27.931516,"American, Desserts, Steak",70,4,4.7,Dark Green,Excellent,3157
17102241,Boca Kitchen Bar Market,Tampa Bay,"901 W. Platt St., Tampa, FL 33606",-82.46887,27.941942,Breakfast,40,3,3.9,Yellow,Good,665
17102579,Edison: Food+Drink Lab,Tampa Bay,"912 W Kennedy Blvd, Tampa, FL 33606",-82.469306,27.944244,International,70,4,3.9,Yellow,Good,373
17092801,Ceviche Tapas Bar & Restaurant,Tampa Bay,"2500 W Azeele St, Tampa, FL 33609",-82.4852372,27.9410382,"Breakfast, Spanish, Tapas",25,2,4.4,Green,Very Good,1007
17093273,Daily Eats,Tampa Bay,"901 S Howard Avenue, Tampa, FL 33606",-82.483124,27.935039,"American, Burger",25,2,4.4,Green,Very Good,803
17096198,Salt Rock Grill,Tampa Bay,"19325 Gulf Blvd, Indian Shores, FL 33785",-82.843253,27.848357,"American, Seafood, Steak",40,3,4.2,Green,Very Good,1363
17095098,Mazzaro's Italian Market,Tampa Bay,"2909 22nd Ave N, St Petersburg, FL 33713",-82.673621,27.792047,"Italian, Deli",10,1,4.9,Dark Green,Excellent,1424
17093135,Conch Republic Grill,Tampa Bay,"16699 Gulf Blvd, North Redington Beach, FL 33708",-82.820856,27.816086,"Sandwich, Seafood, Steak",40,3,4.5,Dark Green,Excellent,844
17095236,Mr. Dunderbak's Biergarten and Marketplatz,Tampa Bay,"14929 Bruce B Downs Blvd, Tampa, FL 33612",-82.41294,28.082909,"European, German",40,3,4.9,Dark Green,Excellent,1413
17095979,Red Mesa Restaurant,Tampa Bay,"4912 4th St N, St Petersburg, FL 33703",-82.638843,27.816848,"Breakfast, Mexican",40,3,4.5,Dark Green,Excellent,1203
17099856,Datz,Tampa Bay,"2616 S Macdill Avenue, Tampa, FL 33629",-82.4932815,27.9219315,"Desserts, Bar Food",40,3,4.7,Dark Green,Excellent,3074
17100307,Ella's Americana Folk Art Cafe,Tampa Bay,"5119 N Nebraska Ave, Tampa, FL 33603",-82.451041,27.993645,"International, Italian, Southern",40,3,4.8,Dark Green,Excellent,1715
17093600,Taco Bus,Tampa Bay,"913 E Hillsborough Ave, Tampa, FL 33604",-82.449897,27.995964,"Mexican, Vegetarian",10,1,4.5,Dark Green,Excellent,1868
17100547,The Refinery,Tampa Bay,"5137 N. Florida Ave., Tampa, FL 33603",-82.459339,27.99384,"Seafood, Steak",40,3,4,Green,Very Good,875
17093124,Columbia Restaurant,Tampa Bay,"2117 E 7th Ave, Tampa, FL 33605",-82.4351499,27.959884,"Cuban, Spanish",40,3,4.4,Green,Very Good,1746
17678243,Buffalo Wild Wings,Valdosta,"1553 Baytree Rd., Valdosta, GA 31602",-83.319123,30.846819,Bar Food,25,2,3.4,Orange,Average,98
17678043,El Toreo Mexican Restaurant,Valdosta,"1713 Gornto Rd, Valdosta, GA 31601",-83.3247,30.8426,Mexican,25,2,3.1,Orange,Average,83
17677978,306 North Restaurant,Valdosta,"306 N Patterson St, Valdosta, GA 31601",-83.2799,30.8332,"Seafood, Southern",40,3,3.9,Yellow,Good,231
17677988,Austins Cattle Co,Valdosta,"2101 W Hill Ave, Valdosta, GA 31601",-83.3170843,30.8164364,"Burger, Seafood, Steak",40,3,3.7,Yellow,Good,216
17678231,Beijing Cafe,Valdosta,"1715 C Norman Drive, Valdosta, GA 31601",-83.318554,30.841892,"Asian, Chinese, Thai",35,3,3.8,Yellow,Good,185
17677990,Bleu Cafe,Valdosta,"125 N Patterson St, Valdosta, GA 31601",-83.279,30.8308,"Pizza, Sandwich",25,2,3.7,Yellow,Good,185
17677991,Bleu Pub,Valdosta,"116 W Hill Ave, Valdosta, GA 31601",-83.2792,30.8308,"Burger, Bar Food, Vegetarian",10,1,3.8,Yellow,Good,281
17678307,Bubba Jax Crab Shack,Valdosta,"1700 W Hill Ave, Valdosta, GA 31601",-83.3085736,30.8223548,"Fast Food, Seafood",40,3,3.7,Yellow,Good,137
17678276,Cheddar's Scratch Kitchen,Valdosta,"270 Norman Drive, Valdosta, GA 31601",-83.316402,30.824691,American,25,2,3.7,Yellow,Good,209
17678283,El Cazador,Valdosta,"1600 N. Ashley St., Valdosta, GA 31602",-83.28078,30.850888,Mexican,10,1,3.7,Yellow,Good,168
17678222,Friends Grille and Bar,Valdosta,"3338-B Country Club Rd, GA 31605",-83.29633,30.880146,"American, Southern",25,2,3.9,Yellow,Good,243
17678055,Giulios Greek & Italian Restaurant,Valdosta,"105 E Ann St, Valdosta, GA 31601",-83.2851,30.8433,"Greek, Italian",40,3,3.8,Yellow,Good,221
17678326,La Jalisco Supermercato,Valdosta,"1300 N. Ashley St., Valdosta, GA 31601",-83.281,30.8465,Mexican,10,1,3.5,Yellow,Good,46
17678229,Masato Japanese,Valdosta,"1337 Baytree Rd, Valdosta, GA 31602",-83.310343,30.846763,"Japanese, Sushi",25,2,3.9,Yellow,Good,262
17678097,Mom & Dad's Italian Restaurant,Valdosta,"4143 N Valdosta Rd, Valdosta, GA 31602",-83.3283,30.8971,Italian,25,2,3.7,Yellow,Good,183
17678216,Mori's Japanese Steakhouse & Sushi Bar,Valdosta,"1709 Norman Dr, Valdosta, GA 31601",-83.318958,30.841547,"Japanese, Steak, Sushi",70,4,3.5,Yellow,Good,208
17678233,Passage 2 India,Valdosta,"2910 N Ashley St Ste E, Valdosta, GA 31602",-83.289338,30.87114,"Indian, Middle Eastern",25,2,3.8,Yellow,Good,245
17678148,Rodeo Mexican Restaurant,Valdosta,"2801 N Ashley St, Valdosta, GA 31602",-83.2868,30.868,Mexican,25,2,3.8,Yellow,Good,199
17678291,Steel Magnolias,Valdosta,"132 N. Patterson St, Valdosta, GA 31601",-83.2796,30.8316,Southern,40,3,3.8,Yellow,Good,225
17678218,Smok'n Pig B-B-Q,Valdosta,"4228 N Valdosta Rd, Valdosta, GA 31602",-83.332796,30.897087,BBQ,25,2,4.1,Green,Very Good,575
17558738,Blue House Cafe,Vernonia,"919 Bridge St, Vernonia, OR 97064",-123.1954368,45.858667,"Coffee and Tea, Mediterranean",10,1,4.3,Green,Very Good,88
17697444,Masala Grill & Coffee House,Waterloo,"911 W 23rd St, Cedar Falls, IA 50613",-92.456343,42.516908,"Indian, Middle Eastern",10,1,3.2,Orange,Average,18
17696871,Brown Bottle The Cedar Falls,Waterloo,"1111 Center St, Cedar Falls, IA 50613",-92.4507,42.5464,"Italian, Pizza, Vegetarian",25,2,3.7,Yellow,Good,134
17696891,Four Queens Dairy Cream,Waterloo,"1310 W 1st St, Cedar Falls, IA 50613",-92.4599,42.5377,Desserts,10,1,3.9,Yellow,Good,190
17696901,Hong Kong Chinese Restaurant,Waterloo,"6306 University Ave, Cedar Falls, IA 50613",-92.4322,42.5133,Chinese,10,1,3.8,Yellow,Good,136
17697384,HuHot Mongolian Grill,Waterloo,"6301 University Ave, Cedar Falls, IA 50613",-92.432177,42.512646,"Asian, Chinese",25,2,3.7,Yellow,Good,113
17697417,J's Homestyle Cooking,Waterloo,"1724 West 31st Street, Cedar Falls, IA 50613",-92.466597,42.509472,"American, Breakfast",10,1,3.6,Yellow,Good,69
17696918,Montage,Waterloo,"222 Main St, Cedar Falls, IA 50613",-92.4453,42.5366,"American, Italian, Seafood",40,3,3.6,Yellow,Good,89
17696920,Mulligan's Brick Oven Grill,Waterloo,"205 E 18th St, Cedar Falls, IA 50613",-92.444,42.5219,"Burger, Pizza, Sandwich",25,2,3.6,Yellow,Good,80
17697398,Sakura,Waterloo,"5719 university avenue, Cedar Falls, IA 50613",-92.426215,42.51259,"Japanese, Sushi",40,3,3.8,Yellow,Good,175
17697406,Scratch,Waterloo,"315 Main St, Cedar Falls, IA 50613",-92.4457417,42.5354081,"Coffee and Tea, Desserts, Beverages",10,1,3.7,Yellow,Good,136
17696941,SOHO Sushi Bar & Deli,Waterloo,"119 Main St, Cedar Falls, IA 50613",-92.4457,42.5375,"Sandwich, Sushi, Tapas",25,2,3.6,Yellow,Good,114
17696955,Texas Roadhouse,Waterloo,"5715 University Ave, Cedar Falls, IA 50613",-92.4291,42.5127,"American, BBQ, Steak",25,2,3.6,Yellow,Good,93
17696957,Tony's La Pizzeria,Waterloo,"407 Main St, Cedar Falls, IA 50613",-92.445723,42.53489,"Pizza, Sandwich",25,2,3.6,Yellow,Good,89
17697418,Chapala,Waterloo,"900 La Porte Road, Waterloo, IA 50702",-92.323032,42.477281,Mexican,25,2,3.6,Yellow,Good,69
17697386,Galleria de Paco,Waterloo,"622 Commercial Street, Waterloo, IA 50701",-92.339721,42.494908,American,40,3,3.6,Yellow,Good,86
17697224,Golden China,Waterloo,"106 Brookridge Dr, IA 50702",-92.356066,42.458979,Chinese,10,1,3.7,Yellow,Good,73
17697304,Rudy's Tacos,Waterloo,"2401 Falls Avenue, IA 50701",-92.3772,42.499705,Mexican,25,2,3.6,Yellow,Good,104
17697389,The Screaming Eagle,Waterloo,"228 E 4th St., Waterloo, IA 50703",-92.335523,42.4984,"American, Bar Food",10,1,3.7,Yellow,Good,101
17697424,The Thai Bowl,Waterloo,"624 Sycamore Street, Waterloo, IA 50703",-92.335769,42.497919,Thai,10,1,3.5,Yellow,Good,58
17697332,Tokyo Japanese Steak House,Waterloo,"1931 Sears Street, Waterloo, IA 50702",-92.3234,42.46558,"Japanese, Steak, Sushi",25,2,3.9,Yellow,Good,156
17694056,Theo Yianni's Authentic Greek Restaurant,Weirton,"322 American Way, Weirton, WV 26062",-80.529488,40.396043,"Burger, Greek, Sandwich",25,2,3.9,Yellow,Good,156
17559793,Fishpatrick's Crabby Cafe,Winchester Bay,"196 Bayfront Loop, Winchester Bay, OR 97467",-124.175346,43.678998,"Burger, Seafood, Steak",25,2,3.2,Orange,Average,16